pedido_id,zona,ruta,urgente,inspeccionado,defecto,atrasado,danado
1,Norte,Rapida,0,1,0,0,0
2,Centro,Rapida,0,1,0,0,0
3,Centro,Rapida,0,0,0,0,0
4,Centro,Rapida,0,0,0,0,0
5,Centro,Rapida,1,1,0,0,0
6,Sur,Normal,0,0,0,0,0
7,Sur,Rapida,0,1,0,0,0
8,Norte,Normal,0,0,0,0,0
9,Centro,Rapida,0,1,1,0,0
10,Norte,Normal,0,0,0,0,0
11,Sur,Rapida,0,0,0,0,0
12,Sur,Normal,0,0,0,0,0
13,Centro,Normal,0,0,0,1,0
14,Sur,Normal,1,1,0,1,0
15,Centro,Rapida,1,1,0,0,0
16,Sur,Rapida,1,1,0,1,0
17,Centro,Normal,0,1,0,0,0
18,Centro,Normal,0,1,0,0,0
19,Norte,Rapida,1,0,0,0,0
20,Norte,Normal,0,1,0,0,0
21,Centro,Rapida,1,1,0,0,0
22,Centro,Normal,0,0,0,0,0
23,Centro,Normal,1,0,1,0,0
24,Norte,Normal,0,1,0,1,0
25,Centro,Rapida,1,0,0,0,0
26,Centro,Rapida,0,0,0,1,0
27,Norte,Rapida,0,0,0,1,0
28,Centro,Rapida,0,1,0,0,0
29,Centro,Normal,0,0,0,0,1
30,Norte,Normal,0,1,0,0,0
31,Norte,Normal,0,0,0,0,0
32,Sur,Rapida,0,0,0,0,0
33,Sur,Rapida,0,1,0,0,1
34,Centro,Normal,1,0,0,0,0
35,Centro,Rapida,1,1,0,1,0
36,Sur,Rapida,1,1,0,0,0
37,Centro,Normal,0,0,0,0,0
38,Centro,Rapida,1,1,0,0,0
39,Sur,Normal,0,1,0,1,0
40,Centro,Normal,0,0,0,0,0
41,Centro,Normal,0,0,0,0,0
42,Centro,Normal,0,0,0,1,0
43,Norte,Normal,1,0,0,1,0
44,Centro,Normal,1,1,1,1,0
45,Norte,Rapida,0,0,1,0,0
46,Centro,Rapida,0,0,0,0,0
47,Centro,Normal,0,1,0,0,0
48,Norte,Rapida,0,1,0,0,0
49,Centro,Normal,0,1,0,0,0
50,Centro,Normal,1,0,0,0,0
51,Centro,Normal,0,0,0,1,0
52,Centro,Rapida,0,1,0,0,0
53,Centro,Rapida,0,0,0,0,0
54,Centro,Normal,0,0,0,0,0
55,Centro,Rapida,0,1,0,0,0
56,Centro,Rapida,0,0,0,0,0
57,Centro,Normal,0,0,0,0,1
58,Centro,Normal,0,1,0,1,0
59,Norte,Rapida,0,0,0,0,0
60,Sur,Rapida,0,0,0,0,0
61,Centro,Normal,0,0,0,0,0
62,Centro,Normal,0,0,0,1,1
63,Centro,Normal,1,1,0,0,0
64,Norte,Normal,0,1,1,0,0
65,Sur,Rapida,0,1,0,0,0
66,Sur,Rapida,1,1,0,0,0
67,Norte,Normal,0,0,0,0,0
68,Centro,Normal,1,1,0,0,0
69,Centro,Rapida,1,0,0,0,0
70,Centro,Rapida,0,1,0,0,0
71,Centro,Normal,0,0,1,1,0
72,Centro,Normal,0,1,0,1,0
73,Sur,Rapida,0,1,0,1,0
74,Sur,Normal,1,1,0,1,0
75,Sur,Rapida,0,0,0,0,0
76,Centro,Normal,0,0,0,0,0
77,Norte,Normal,1,1,0,0,0
78,Sur,Normal,0,1,0,0,0
79,Norte,Rapida,1,1,0,0,0
80,Norte,Normal,0,0,0,0,0
81,Norte,Rapida,0,0,0,0,0
82,Centro,Rapida,0,0,0,0,0
83,Centro,Rapida,0,0,0,0,0
84,Norte,Normal,0,1,0,1,0
85,Norte,Rapida,1,0,0,0,0
86,Centro,Normal,1,1,0,0,0
87,Centro,Rapida,0,0,0,0,0
88,Centro,Normal,0,1,0,0,0
89,Centro,Normal,0,0,0,1,1
90,Sur,Rapida,0,1,0,0,0
91,Sur,Normal,0,1,0,0,0
92,Norte,Normal,0,1,0,0,0
93,Sur,Normal,0,1,0,0,0
94,Sur,Normal,0,1,0,0,0
95,Centro,Normal,0,0,0,1,0
96,Centro,Normal,0,0,0,0,0
97,Centro,Normal,0,1,0,0,0
98,Sur,Rapida,0,0,0,0,0
99,Norte,Rapida,0,0,1,0,0
100,Centro,Rapida,0,0,0,0,0
101,Sur,Normal,0,0,0,0,0
102,Norte,Rapida,0,0,0,0,0
103,Centro,Normal,0,0,0,1,0
104,Centro,Rapida,0,0,1,0,0
105,Sur,Rapida,1,0,0,0,0
106,Norte,Rapida,0,0,0,0,0
107,Centro,Rapida,1,1,0,0,0
108,Sur,Rapida,0,1,0,0,0
109,Centro,Normal,0,0,0,0,0
110,Centro,Normal,0,1,0,0,0
111,Centro,Normal,1,0,0,0,0
112,Centro,Normal,1,0,0,0,0
113,Centro,Normal,0,0,0,0,0
114,Norte,Rapida,0,1,0,1,0
115,Norte,Normal,0,0,0,0,0
116,Norte,Normal,1,0,0,1,0
117,Norte,Normal,1,1,0,1,0
118,Centro,Normal,0,0,0,0,0
119,Norte,Normal,0,0,0,0,0
120,Centro,Rapida,0,0,0,0,0
121,Centro,Normal,0,1,0,0,0
122,Sur,Normal,0,0,0,0,0
123,Centro,Normal,0,1,0,0,0
124,Centro,Normal,0,0,0,0,0
125,Centro,Rapida,0,0,1,0,0
126,Norte,Normal,0,0,0,0,0
127,Centro,Normal,1,1,0,1,0
128,Sur,Normal,0,0,1,0,0
129,Centro,Rapida,0,0,0,1,0
130,Centro,Normal,0,1,0,1,0
131,Sur,Normal,0,0,0,0,0
132,Centro,Normal,0,0,0,0,0
133,Centro,Rapida,1,0,0,0,0
134,Sur,Normal,0,0,0,0,0
135,Norte,Normal,1,1,0,0,0
136,Centro,Rapida,0,0,0,0,0
137,Centro,Normal,0,0,0,0,0
138,Sur,Rapida,0,0,0,0,0
139,Centro,Normal,0,1,0,0,0
140,Centro,Normal,0,1,0,1,0
141,Centro,Normal,0,1,0,0,0
142,Centro,Normal,0,1,0,1,0
143,Norte,Normal,0,1,0,0,0
144,Centro,Rapida,1,1,0,0,0
145,Sur,Normal,1,0,1,0,0
146,Norte,Normal,1,0,0,0,0
