lote_id,tiempo_antes,tiempo_despues,d_reduccion
1,25.64,20.79,4.85
2,21.88,17.69,4.19
3,13.38,8.79,4.59
4,22.1,18.34,3.76
5,21.81,20.37,1.44
6,21.3,17.49,3.81
7,23.8,22.64,1.16
8,23.06,17.86,5.2
9,18.07,16.49,1.58
10,23.95,21.67,2.28
11,19.58,17.23,2.35
12,16.41,13.55,2.86
13,22.6,20.67,1.93
14,17.57,13.49,4.08
15,25.23,23.3,1.93
16,11.44,9.86,1.58
17,22.52,21.66,0.86
18,17.1,14.4,2.7
19,20.76,19.23,1.53
20,16.97,13.34,3.63
21,19.41,16.04,3.37
22,20.37,21.48,-1.11
23,24.54,24.05,0.49
24,16.83,17.94,-1.11
25,26.08,23.95,2.13
26,21.08,18.37,2.71
27,19.14,16.92,2.22
28,17.59,14.42,3.17
29,15.34,12.55,2.79
30,19.2,13.27,5.93
31,22.0,21.72,0.28
32,22.75,20.99,1.76
33,22.25,22.04,0.21
34,22.16,20.35,1.81
35,21.44,15.41,6.03
36,21.1,15.92,5.18
37,21.9,21.55,0.35
38,27.27,19.44,7.83
39,19.55,15.93,3.62
40,23.87,20.84,3.03
41,9.09,9.42,-0.33
42,18.24,19.89,-1.65
43,18.34,15.98,2.36
44,22.18,19.96,2.22
45,14.9,13.3,1.6
46,23.17,18.63,4.54
47,20.06,22.36,-2.3
48,17.85,16.21,1.64
49,17.86,16.19,1.67
50,23.04,19.68,3.36
51,18.21,14.09,4.12
52,20.92,18.65,2.27
53,14.2,11.15,3.05
54,23.4,17.8,5.6
55,21.2,15.05,6.15
56,17.86,16.56,1.3
57,24.12,22.28,1.84
58,17.61,13.32,4.29
59,29.83,27.8,2.03
60,23.62,18.87,4.75
