registro_id,turno,tipo_defecto,proveedor,gravedad
1,Dia,C,P2,Grave
2,Noche,B,P1,Leve
3,Dia,A,P2,Leve
4,Dia,A,P2,Leve
5,Noche,B,P1,Leve
6,Dia,A,P3,Leve
7,Noche,A,P3,Leve
8,Dia,B,P3,Leve
9,Dia,A,P1,Leve
10,Dia,C,P1,Leve
11,Dia,A,P2,Grave
12,Noche,B,P2,Leve
13,Noche,A,P3,Grave
14,Noche,B,P2,Leve
15,Dia,C,P1,Leve
16,Dia,A,P2,Grave
17,Noche,B,P3,Leve
18,Dia,A,P2,Leve
19,Noche,B,P1,Leve
20,Dia,B,P2,Grave
21,Noche,A,P2,Leve
22,Dia,A,P1,Leve
23,Dia,A,P3,Leve
24,Dia,A,P2,Leve
25,Dia,B,P1,Leve
26,Dia,A,P2,Grave
27,Dia,A,P3,Leve
28,Noche,B,P2,Leve
29,Noche,C,P1,Leve
30,Dia,A,P2,Leve
31,Dia,B,P3,Leve
32,Dia,B,P3,Leve
33,Dia,B,P2,Grave
34,Dia,B,P2,Grave
35,Noche,B,P1,Leve
36,Dia,C,P2,Leve
37,Noche,B,P3,Leve
38,Noche,B,P1,Leve
39,Dia,B,P2,Grave
40,Noche,C,P1,Leve
41,Dia,C,P2,Grave
42,Dia,B,P2,Leve
43,Noche,C,P1,Leve
44,Noche,B,P2,Leve
45,Noche,B,P2,Grave
46,Dia,B,P1,Leve
47,Noche,B,P2,Leve
48,Dia,B,P2,Leve
49,Dia,A,P2,Grave
50,Noche,C,P1,Grave
51,Noche,B,P1,Leve
52,Dia,B,P1,Leve
53,Noche,B,P2,Grave
54,Dia,B,P2,Leve
55,Dia,B,P2,Grave
56,Dia,A,P2,Leve
57,Dia,C,P3,Leve
58,Dia,A,P2,Leve
59,Noche,B,P1,Grave
60,Noche,A,P2,Grave
61,Dia,C,P2,Grave
62,Dia,A,P2,Leve
63,Dia,B,P1,Leve
64,Noche,A,P1,Leve
65,Dia,B,P3,Grave
66,Noche,B,P2,Grave
67,Dia,A,P1,Leve
68,Dia,C,P3,Leve
69,Noche,B,P3,Leve
70,Noche,B,P1,Leve
71,Dia,A,P1,Grave
72,Dia,A,P3,Leve
73,Noche,B,P2,Leve
74,Dia,A,P3,Grave
75,Dia,A,P1,Leve
76,Noche,C,P2,Leve
77,Dia,A,P3,Grave
78,Noche,B,P1,Grave
79,Dia,A,P2,Grave
80,Dia,C,P2,Grave
81,Dia,B,P2,Leve
82,Dia,C,P2,Leve
83,Dia,B,P1,Grave
84,Dia,B,P1,Leve
85,Noche,C,P1,Grave
86,Dia,A,P2,Leve
87,Dia,B,P3,Leve
88,Noche,C,P2,Leve
89,Noche,C,P1,Leve
90,Noche,B,P2,Grave
91,Noche,B,P2,Leve
92,Noche,C,P1,Leve
93,Dia,B,P2,Grave
94,Noche,A,P1,Leve
95,Dia,B,P1,Leve
96,Noche,B,P3,Leve
97,Noche,B,P1,Leve
98,Dia,B,P1,Leve
99,Dia,B,P1,Leve
100,Noche,C,P3,Grave
101,Dia,C,P1,Leve
102,Dia,C,P2,Grave
103,Dia,A,P1,Leve
104,Dia,A,P2,Grave
105,Dia,B,P3,Leve
106,Noche,B,P1,Leve
107,Dia,B,P2,Leve
108,Noche,B,P3,Leve
109,Dia,B,P2,Grave
110,Noche,B,P1,Leve
111,Dia,C,P2,Leve
112,Noche,B,P2,Leve
113,Dia,A,P3,Leve
114,Noche,A,P2,Grave
115,Dia,A,P2,Grave
116,Dia,C,P2,Leve
117,Dia,A,P2,Grave
118,Dia,B,P3,Leve
119,Noche,A,P1,Leve
120,Noche,B,P1,Leve
121,Noche,B,P1,Leve
122,Dia,B,P3,Leve
123,Dia,B,P2,Grave
124,Dia,B,P1,Leve
125,Noche,B,P3,Grave
126,Dia,A,P2,Grave
127,Dia,A,P2,Grave
128,Noche,A,P1,Leve
129,Dia,C,P2,Leve
130,Noche,B,P1,Leve
131,Noche,A,P1,Leve
132,Dia,B,P1,Leve
133,Dia,A,P2,Leve
134,Dia,B,P2,Grave
135,Noche,C,P2,Grave
136,Dia,C,P3,Leve
137,Dia,A,P3,Leve
138,Dia,B,P3,Leve
139,Noche,B,P1,Grave
140,Dia,C,P1,Leve
141,Noche,B,P3,Leve
142,Noche,B,P2,Leve
143,Noche,C,P3,Leve
144,Noche,B,P1,Leve
145,Dia,B,P1,Leve
146,Dia,C,P1,Leve
147,Dia,A,P1,Grave
148,Dia,C,P2,Leve
149,Noche,A,P2,Leve
150,Dia,C,P3,Leve
151,Noche,C,P1,Leve
152,Noche,A,P2,Grave
153,Dia,B,P2,Leve
154,Noche,C,P1,Leve
155,Dia,B,P1,Grave
156,Noche,B,P1,Grave
157,Noche,B,P2,Leve
158,Dia,B,P2,Grave
159,Dia,B,P3,Leve
160,Noche,C,P1,Leve
161,Noche,C,P3,Grave
162,Dia,A,P2,Leve
163,Noche,B,P1,Leve
164,Noche,A,P2,Leve
165,Noche,A,P3,Grave
166,Dia,A,P3,Grave
167,Noche,A,P2,Leve
168,Dia,A,P3,Leve
169,Dia,A,P3,Leve
170,Noche,B,P2,Grave
171,Noche,A,P1,Leve
172,Noche,B,P3,Leve
173,Dia,A,P2,Leve
174,Dia,A,P1,Leve
175,Noche,B,P3,Grave
176,Dia,A,P2,Leve
177,Noche,C,P1,Leve
178,Dia,B,P3,Grave
179,Dia,B,P2,Leve
180,Dia,A,P2,Leve
181,Dia,A,P3,Grave
182,Noche,B,P1,Leve
183,Dia,A,P2,Grave
184,Dia,A,P3,Grave
185,Dia,C,P1,Leve
186,Noche,A,P1,Leve
187,Noche,C,P1,Leve
188,Noche,A,P2,Leve
189,Dia,B,P1,Grave
190,Dia,A,P1,Grave
191,Noche,C,P3,Leve
192,Dia,A,P3,Leve
193,Noche,B,P1,Grave
194,Noche,B,P3,Leve
195,Dia,A,P2,Grave
196,Noche,B,P1,Grave
197,Dia,A,P2,Leve
198,Dia,B,P2,Leve
199,Dia,A,P2,Grave
200,Dia,B,P2,Leve
201,Dia,C,P2,Leve
202,Dia,B,P1,Leve
203,Dia,A,P1,Leve
204,Noche,C,P1,Leve
205,Noche,C,P1,Grave
