equipo_id,turno,falla_real,alarma,sensor2,demanda_repuestos
1,Dia,0,0,0,2
2,Dia,0,0,0,2
3,Noche,0,0,0,4
4,Noche,0,0,0,1
5,Dia,0,1,0,3
6,Noche,0,0,0,3
7,Dia,0,0,0,1
8,Dia,1,1,1,1
9,Noche,0,1,0,2
10,Dia,0,0,0,3
11,Noche,0,0,0,2
12,Noche,0,0,0,2
13,Dia,0,0,1,5
14,Dia,0,0,0,4
15,Noche,1,1,1,3
16,Dia,0,1,1,0
17,Dia,0,0,0,2
18,Noche,0,0,0,4
19,Noche,0,0,1,4
20,Noche,0,1,0,3
21,Noche,0,0,1,2
22,Dia,0,0,0,2
23,Dia,0,0,0,4
24,Noche,0,0,0,3
25,Dia,0,0,0,2
26,Noche,1,1,1,3
27,Noche,1,1,1,3
28,Dia,0,0,0,4
29,Dia,0,0,0,3
30,Dia,0,0,0,3
31,Dia,0,0,1,1
32,Dia,0,0,0,3
33,Noche,0,0,0,0
34,Dia,0,0,0,3
35,Noche,0,0,0,2
36,Dia,0,0,0,3
37,Dia,0,0,0,0
38,Dia,0,1,0,2
39,Dia,0,0,0,1
40,Noche,0,0,0,2
41,Noche,0,0,0,1
42,Noche,0,0,0,3
43,Dia,0,0,1,2
44,Dia,0,1,1,1
45,Noche,0,1,0,3
46,Noche,0,0,0,3
47,Noche,0,0,0,3
48,Dia,0,0,0,0
49,Dia,0,0,1,4
50,Noche,0,0,0,2
51,Noche,0,0,0,4
52,Noche,0,0,0,2
53,Dia,0,0,0,0
54,Dia,0,0,0,2
55,Noche,0,0,0,1
56,Noche,0,0,0,2
57,Dia,0,0,0,1
58,Noche,0,0,0,0
59,Noche,0,0,0,3
60,Noche,1,1,1,0
61,Noche,0,0,0,4
62,Dia,0,0,0,4
63,Dia,1,1,1,2
64,Noche,0,0,0,3
65,Dia,0,0,0,0
66,Dia,0,0,1,2
67,Dia,0,0,0,3
68,Dia,0,0,0,4
69,Noche,0,0,0,1
70,Noche,0,0,0,2
71,Dia,0,0,0,5
72,Noche,0,0,0,2
73,Dia,1,1,1,0
74,Dia,0,0,0,1
75,Noche,0,0,0,1
76,Noche,0,0,0,1
77,Noche,0,0,0,4
78,Dia,0,0,0,3
79,Dia,0,0,0,3
80,Dia,0,1,0,3
81,Noche,0,1,0,3
82,Noche,0,0,0,1
83,Dia,0,0,0,3
84,Dia,1,1,1,2
85,Dia,0,0,0,3
86,Noche,0,0,0,1
87,Noche,0,0,0,0
88,Dia,0,0,0,5
89,Dia,0,0,0,1
90,Dia,0,0,0,5
91,Noche,0,0,0,5
92,Dia,0,0,0,3
93,Noche,0,0,0,1
94,Noche,0,1,0,1
95,Noche,0,0,0,1
96,Dia,0,0,1,2
97,Dia,0,0,0,0
98,Dia,0,0,0,2
99,Dia,0,0,0,3
100,Dia,0,0,0,2
101,Noche,0,0,1,2
102,Dia,1,1,0,2
103,Dia,0,0,0,2
104,Noche,0,0,0,2
105,Noche,0,0,0,4
106,Dia,0,0,0,1
107,Noche,0,0,0,2
108,Dia,1,1,1,1
109,Dia,1,1,1,2
110,Dia,0,0,0,3
111,Noche,0,0,0,4
112,Dia,0,0,0,2
113,Dia,0,0,0,1
114,Noche,0,0,0,2
115,Dia,0,0,1,5
116,Noche,0,0,0,1
117,Noche,1,1,1,1
118,Noche,0,0,0,2
119,Dia,1,1,1,3
120,Noche,0,0,0,1
121,Noche,0,0,0,2
122,Dia,1,1,1,2
123,Dia,1,1,1,2
124,Dia,0,0,0,2
125,Dia,0,0,0,0
126,Dia,0,0,0,5
127,Noche,0,0,0,1
128,Dia,0,0,0,1
129,Noche,0,0,0,1
130,Dia,0,0,0,3
131,Noche,0,0,0,2
132,Dia,0,0,0,2
133,Dia,0,0,0,2
134,Dia,0,0,0,2
135,Noche,0,0,1,0
136,Dia,0,0,0,2
137,Dia,0,0,0,2
138,Dia,0,0,0,3
139,Dia,1,1,1,2
140,Dia,0,0,0,5
141,Noche,0,0,0,1
142,Dia,0,0,0,3
143,Noche,0,0,0,2
144,Noche,0,0,0,1
145,Dia,0,0,0,1
146,Dia,1,1,1,1
147,Dia,0,0,0,3
148,Noche,0,0,0,2
149,Noche,0,0,0,5
150,Dia,0,0,0,2
151,Dia,0,0,0,4
152,Dia,0,0,0,3
153,Dia,1,1,1,3
154,Dia,0,0,0,4
155,Dia,0,0,0,2
156,Dia,0,0,0,1
157,Noche,0,1,0,3
158,Noche,0,1,1,1
159,Noche,0,0,0,4
160,Noche,0,0,0,1
161,Noche,0,0,0,4
162,Noche,1,1,1,2
163,Dia,0,0,0,3
164,Dia,0,0,0,5
165,Noche,0,0,0,2
166,Noche,0,0,0,2
167,Dia,1,1,1,2
168,Noche,0,0,0,0
169,Dia,0,1,0,4
170,Noche,0,0,0,1
171,Noche,0,0,0,1
172,Dia,0,0,0,2
173,Noche,0,0,0,3
174,Dia,0,0,0,1
175,Dia,1,1,0,0
176,Dia,1,1,1,1
177,Noche,0,1,0,3
178,Dia,0,0,0,2
179,Noche,0,0,1,2
180,Noche,0,0,0,1
181,Dia,0,0,1,2
182,Dia,0,0,0,1
183,Noche,0,0,0,2
184,Noche,0,0,0,5
185,Dia,0,0,0,0
186,Noche,0,0,0,1
187,Dia,0,0,0,3
188,Noche,0,0,0,1
189,Noche,0,0,0,3
190,Dia,0,0,0,3
191,Dia,0,0,0,2
192,Dia,0,1,0,2
193,Dia,1,1,0,1
194,Noche,1,1,1,2
195,Noche,1,1,1,3
196,Dia,0,0,1,2
197,Noche,0,0,0,3
198,Noche,0,0,1,2
199,Noche,0,0,0,1
200,Dia,0,0,0,1
201,Noche,0,0,0,5
202,Noche,0,0,0,1
203,Noche,0,0,1,2
204,Noche,0,0,0,3
205,Dia,0,0,0,1
206,Dia,0,0,0,3
207,Noche,0,1,0,3
208,Noche,0,0,0,2
209,Noche,0,0,0,1
210,Dia,0,0,0,3
211,Dia,0,0,0,0
212,Dia,0,0,0,4
213,Dia,0,0,0,2
214,Dia,0,0,0,4
215,Noche,0,0,0,2
216,Noche,0,0,0,5
217,Dia,0,0,0,1
218,Dia,0,0,0,2
219,Noche,0,0,0,2
220,Dia,0,0,0,0
221,Noche,0,0,0,2
222,Dia,0,0,0,3
223,Noche,1,0,1,2
224,Dia,0,0,0,3
225,Dia,0,0,0,2
226,Noche,0,0,0,1
227,Dia,0,0,0,1
228,Dia,0,0,0,3
229,Dia,0,0,0,2
230,Dia,0,0,0,4
231,Noche,0,0,0,3
232,Dia,0,1,0,3
233,Dia,0,0,0,2
234,Dia,0,0,0,1
235,Noche,0,0,0,3
236,Noche,0,0,0,3
237,Noche,0,0,0,2
238,Noche,0,0,0,0
239,Dia,0,0,0,1
240,Noche,0,0,0,0
241,Noche,0,0,0,1
242,Dia,0,0,0,2
243,Dia,0,0,0,2
244,Noche,0,0,0,2
245,Noche,0,0,0,3
246,Dia,1,1,0,3
247,Noche,1,1,1,2
248,Noche,0,1,0,1
249,Dia,0,0,0,2
250,Noche,0,0,0,1
251,Noche,0,0,0,4
252,Noche,0,0,0,5
253,Noche,0,0,0,1
254,Dia,0,0,0,4
255,Dia,0,0,0,2
256,Dia,0,0,0,3
257,Dia,0,0,1,2
258,Dia,0,0,0,2
259,Noche,0,0,0,2
260,Dia,0,0,0,2
261,Noche,0,0,0,0
262,Noche,0,0,0,3
263,Noche,1,1,0,3
264,Dia,0,0,0,2
265,Dia,0,0,0,5
266,Dia,0,0,0,3
267,Dia,0,0,0,2
268,Dia,0,0,0,4
269,Dia,0,0,0,1
270,Dia,0,0,0,4
271,Noche,0,0,0,3
272,Dia,0,0,0,3
273,Noche,0,0,0,2
274,Dia,0,0,0,4
275,Dia,0,0,0,0
