turno_id,linea,fallas,tiempo_ciclo,costo
1,A,1,7.87,520
2,A,0,9.62,500
3,A,0,17.46,500
4,B,0,9.05,500
5,A,0,8.17,500
6,A,2,3.62,540
7,A,0,10.23,500
8,A,2,4.21,540
9,A,0,6.7,500
10,A,4,5.51,580
11,A,0,10.59,500
12,B,0,5.48,500
13,B,3,9.57,560
14,B,2,7.66,540
15,A,1,8.44,520
16,A,4,8.6,580
17,A,1,14.98,520
18,A,0,9.59,500
19,A,3,7.0,560
20,A,1,4.19,520
21,A,3,8.04,560
22,B,0,14.46,500
23,A,0,12.06,500
24,A,1,9.14,520
25,A,0,8.62,500
26,B,1,14.19,520
27,B,1,7.22,520
28,A,0,12.29,500
29,A,1,7.17,520
30,B,0,9.46,500
31,B,0,14.13,500
32,A,0,6.13,500
33,B,3,4.86,560
34,B,1,12.18,520
35,A,1,5.15,520
36,A,0,9.82,500
37,A,3,10.92,560
38,B,1,12.95,520
39,A,1,7.73,520
40,B,1,5.7,520
41,A,4,11.57,580
42,B,3,20.49,560
43,A,2,7.54,540
44,A,2,8.99,540
45,B,2,3.75,540
46,A,1,9.42,520
47,B,0,11.56,500
48,A,0,8.77,500
49,B,0,15.31,500
50,A,1,3.86,520
51,A,0,9.38,500
52,A,2,8.16,540
53,B,2,11.56,540
54,B,3,7.85,560
55,A,1,19.24,520
56,A,0,17.55,500
57,A,0,6.1,500
58,A,0,12.02,500
59,B,0,11.02,500
60,B,1,5.95,520
61,B,2,9.34,540
62,B,0,9.66,500
63,A,0,10.85,500
64,B,1,3.93,520
65,B,1,9.15,520
66,A,2,6.67,540
67,A,0,7.36,500
68,B,2,11.11,540
69,A,0,3.59,500
70,B,3,27.61,560
71,B,1,8.1,520
72,B,1,17.98,520
73,B,0,16.75,500
74,B,1,11.24,520
75,B,0,7.31,500
76,B,0,6.17,500
77,B,0,5.87,500
78,B,2,9.71,540
79,B,1,11.46,520
80,A,0,8.14,500
81,B,0,4.91,500
82,A,0,14.05,500
83,A,3,11.18,560
84,B,2,13.92,540
85,A,0,11.7,500
86,A,1,6.66,520
87,A,2,10.73,540
88,B,1,7.15,520
89,A,1,16.13,520
90,B,1,8.55,520
91,A,3,7.04,560
92,B,1,12.44,520
93,B,0,10.61,500
94,A,3,11.48,560
95,B,1,5.72,520
96,A,0,12.59,500
97,A,1,9.94,520
98,B,0,5.19,500
99,B,0,7.02,500
100,B,3,7.37,560
101,A,0,10.73,500
102,B,0,10.71,500
103,A,1,7.94,520
104,B,2,9.59,540
105,B,1,9.81,520
106,A,0,7.39,500
107,B,0,8.06,500
108,A,0,11.54,500
109,A,0,14.25,500
110,B,1,4.72,520
111,B,1,11.3,520
112,A,0,13.7,500
113,B,2,11.8,540
114,B,0,8.37,500
115,A,2,12.0,540
116,A,2,10.23,540
117,A,1,7.34,520
118,B,2,10.47,540
119,B,0,5.88,500
120,B,0,6.68,500
121,A,1,11.91,520
122,B,2,19.77,540
123,A,1,7.03,520
124,B,1,6.65,520
125,B,3,8.03,560
126,B,4,6.92,580
127,A,0,6.59,500
128,A,0,11.85,500
129,B,1,14.03,520
130,A,0,13.14,500
131,B,3,11.14,560
132,A,0,17.87,500
133,A,1,9.33,520
134,B,0,8.17,500
135,A,1,9.14,520
136,A,0,10.32,500
137,A,2,11.11,540
138,B,3,7.24,560
139,B,0,6.71,500
140,A,0,5.77,500
141,B,0,12.94,500
142,A,0,6.18,500
143,B,3,7.82,560
144,B,3,4.57,560
145,A,1,7.24,520
146,B,2,10.93,540
147,B,2,5.83,540
148,B,2,11.31,540
149,A,0,11.92,500
150,A,0,11.42,500
151,B,2,20.17,540
152,B,0,12.35,500
153,B,3,11.86,560
154,B,0,11.82,500
155,A,2,10.87,540
156,A,0,6.41,500
157,A,1,7.99,520
158,A,2,8.07,540
159,A,0,6.8,500
160,A,3,8.01,560
161,B,4,11.63,580
162,B,3,9.43,560
163,B,1,12.97,520
164,B,3,6.7,560
165,A,1,19.46,520
166,A,0,13.31,500
167,A,0,4.7,500
168,B,3,6.73,560
169,A,1,19.62,520
170,A,0,17.55,500
171,A,4,4.65,580
172,B,3,7.97,560
173,A,0,10.55,500
174,B,0,5.36,500
175,B,0,6.83,500
176,B,1,8.05,520
177,B,3,7.24,560
178,A,1,16.69,520
179,B,0,8.35,500
180,A,1,5.91,520
181,A,0,7.04,500
182,A,2,7.2,540
183,A,4,9.04,580
184,B,4,5.76,580
185,B,2,5.36,540
186,B,1,11.11,520
187,B,0,7.41,500
188,B,2,6.07,540
189,A,2,8.74,540
190,B,0,6.65,500
191,A,1,7.52,520
192,B,2,6.25,540
193,A,2,20.14,540
194,B,2,7.53,540
195,A,0,8.91,500
196,A,1,7.94,520
197,A,0,4.88,500
198,A,0,9.64,500
199,B,3,5.1,560
200,B,4,11.36,580
201,B,2,18.3,540
202,B,0,5.31,500
203,A,0,10.47,500
204,A,1,8.7,520
205,B,0,5.72,500
206,B,0,7.96,500
207,A,0,6.43,500
208,A,2,12.74,540
209,A,0,3.17,500
210,B,1,14.21,520
211,A,2,10.41,540
212,B,0,12.46,500
213,B,1,5.99,520
214,A,2,9.75,540
215,B,0,4.65,500
216,B,2,7.74,540
217,A,2,10.48,540
218,B,2,3.89,540
219,B,0,11.83,500
220,B,3,4.59,560
221,B,1,6.5,520
222,A,1,4.99,520
223,B,0,9.26,500
224,A,2,11.71,540
225,A,1,7.48,520
226,A,0,5.62,500
227,B,2,5.51,540
228,A,2,6.73,540
229,B,2,4.98,540
230,B,2,13.58,540
231,B,1,4.29,520
232,B,0,16.69,500
233,A,0,12.9,500
234,A,2,14.55,540
235,B,0,10.43,500
236,A,1,17.78,520
237,B,0,19.7,500
238,B,2,8.25,540
239,B,1,2.84,520
240,A,3,3.4,560
241,B,3,10.58,560
242,A,0,11.98,500
243,B,2,8.69,540
244,A,1,11.47,520
245,A,1,6.16,520
246,A,0,13.25,500
247,B,0,8.0,500
248,A,0,13.94,500
249,A,4,10.24,580
250,B,0,12.59,500
251,B,1,11.24,520
252,B,0,16.4,500
253,A,2,9.66,540
254,A,0,5.88,500
255,B,0,7.74,500
256,A,0,13.13,500
257,A,0,6.84,500
258,B,0,10.72,500
259,B,0,10.88,500
260,A,0,12.02,500
261,A,0,9.6,500
262,A,0,12.62,500
263,A,3,6.93,560
264,B,0,9.23,500
265,B,2,9.37,540
266,A,1,9.64,520
267,A,0,11.69,500
268,A,2,12.87,540
269,A,0,14.33,500
270,B,3,6.85,560
271,A,0,9.23,500
272,B,1,16.51,520
273,A,1,9.93,520
274,B,2,5.5,540
275,B,2,4.42,540
276,A,0,9.3,500
277,A,0,13.53,500
278,A,3,11.19,560
