muestra_id,turno,n_inspeccion,defectuosas,llamadas_soporte
1,Noche,20,1,4
2,Noche,20,3,4
3,Dia,20,0,3
4,Noche,20,1,4
5,Noche,20,1,0
6,Dia,20,2,3
7,Dia,20,0,4
8,Dia,20,2,1
9,Noche,20,1,3
10,Noche,20,2,0
11,Noche,20,2,3
12,Noche,20,1,3
13,Noche,20,1,2
14,Dia,20,1,1
15,Dia,20,2,3
16,Noche,20,4,4
17,Dia,20,2,2
18,Noche,20,3,2
19,Dia,20,1,5
20,Noche,20,0,2
21,Dia,20,1,7
22,Dia,20,3,4
23,Noche,20,0,2
24,Dia,20,1,1
25,Dia,20,1,1
26,Noche,20,2,5
27,Dia,20,0,0
28,Noche,20,1,4
29,Noche,20,2,3
30,Dia,20,2,5
31,Noche,20,0,3
32,Noche,20,4,2
33,Dia,20,1,3
34,Noche,20,4,3
35,Noche,20,3,4
36,Noche,20,3,6
37,Dia,20,4,5
38,Dia,20,0,5
39,Noche,20,1,4
40,Dia,20,2,3
41,Dia,20,0,2
42,Dia,20,0,1
43,Noche,20,2,4
44,Noche,20,4,1
45,Dia,20,1,3
46,Noche,20,3,2
47,Dia,20,1,2
48,Noche,20,1,1
49,Noche,20,1,4
50,Dia,20,4,2
51,Dia,20,0,2
52,Noche,20,3,5
53,Noche,20,4,1
54,Noche,20,3,1
55,Dia,20,1,4
56,Noche,20,1,6
57,Noche,20,2,3
58,Dia,20,1,0
59,Dia,20,0,1
60,Dia,20,0,1
61,Noche,20,2,5
62,Dia,20,0,1
63,Noche,20,2,2
64,Dia,20,0,4
65,Dia,20,1,1
66,Dia,20,0,3
67,Noche,20,0,6
68,Dia,20,1,2
69,Noche,20,3,2
70,Noche,20,3,2
71,Noche,20,1,2
72,Noche,20,1,2
73,Noche,20,0,3
74,Dia,20,4,3
75,Dia,20,0,3
76,Dia,20,1,3
77,Noche,20,1,4
78,Noche,20,2,2
79,Dia,20,2,3
80,Dia,20,0,1
81,Dia,20,0,2
82,Noche,20,4,2
83,Noche,20,1,4
84,Noche,20,1,2
85,Dia,20,1,2
86,Dia,20,0,2
87,Dia,20,2,4
88,Dia,20,0,5
89,Noche,20,2,2
90,Dia,20,1,3
91,Noche,20,2,3
92,Dia,20,2,4
93,Dia,20,2,4
94,Dia,20,1,2
95,Noche,20,4,7
96,Dia,20,0,3
97,Noche,20,2,3
98,Dia,20,2,1
99,Noche,20,0,5
100,Dia,20,1,2
101,Noche,20,3,2
102,Noche,20,0,6
103,Dia,20,1,3
104,Noche,20,2,5
105,Dia,20,0,2
106,Dia,20,0,5
107,Noche,20,3,0
108,Noche,20,3,1
109,Dia,20,1,2
110,Noche,20,0,2
111,Noche,20,2,2
112,Noche,20,3,3
113,Dia,20,1,2
114,Noche,20,1,0
115,Noche,20,0,4
116,Dia,20,0,3
117,Noche,20,3,1
118,Noche,20,1,5
119,Dia,20,2,1
120,Dia,20,1,3
121,Dia,20,0,4
122,Dia,20,2,4
123,Noche,20,4,4
124,Dia,20,1,3
125,Noche,20,3,0
126,Noche,20,2,2
127,Dia,20,1,4
128,Dia,20,2,3
129,Dia,20,3,3
130,Dia,20,2,4
131,Noche,20,0,3
132,Noche,20,0,5
133,Dia,20,0,7
134,Noche,20,0,4
135,Noche,20,1,0
136,Noche,20,4,2
137,Dia,20,3,2
138,Noche,20,0,2
139,Noche,20,1,1
140,Dia,20,1,0
141,Dia,20,1,6
142,Noche,20,0,2
143,Dia,20,1,1
144,Noche,20,1,2
145,Noche,20,1,0
146,Dia,20,1,5
147,Noche,20,1,2
148,Noche,20,3,1
149,Dia,20,0,1
150,Noche,20,1,3
151,Noche,20,2,4
152,Dia,20,0,7
153,Noche,20,2,3
154,Noche,20,2,3
155,Noche,20,1,2
156,Dia,20,0,0
157,Noche,20,3,3
158,Dia,20,0,1
159,Dia,20,0,4
160,Noche,20,1,2
161,Dia,20,1,3
162,Dia,20,1,4
163,Noche,20,0,1
164,Noche,20,2,2
165,Dia,20,2,1
166,Dia,20,0,3
167,Noche,20,3,2
168,Noche,20,3,2
169,Noche,20,2,3
170,Dia,20,1,2
171,Dia,20,0,3
172,Dia,20,1,2
173,Noche,20,1,3
174,Dia,20,1,4
175,Noche,20,2,1
176,Dia,20,2,3
177,Noche,20,1,3
178,Dia,20,4,4
179,Dia,20,1,4
180,Dia,20,0,3
181,Noche,20,0,4
182,Dia,20,2,2
183,Dia,20,0,2
184,Dia,20,1,5
185,Dia,20,1,5
186,Dia,20,2,6
187,Noche,20,2,2
188,Dia,20,1,1
189,Dia,20,0,4
