pieza_id,diametro,tiempo_reparacion,hora_llegada,peso
1,50.052,0.722,1.087,100.446
2,50.324,2.379,1.303,103.222
3,50.071,13.853,1.057,96.729
4,50.194,1.358,1.427,97.351
5,50.147,5.992,0.969,100.52
6,50.149,7.259,1.981,100.425
7,49.717,5.101,1.083,100.824
8,50.243,9.686,0.376,98.79
9,50.123,0.269,0.214,99.129
10,49.732,5.075,1.381,102.825
11,49.862,4.827,0.421,100.339
12,49.923,7.443,1.461,103.193
13,50.375,4.324,0.14,99.847
14,50.301,0.206,1.18,100.491
15,49.98,1.139,1.358,97.854
16,49.871,0.195,0.373,97.98
17,49.793,14.152,0.293,97.273
18,49.805,20.823,0.102,97.768
19,49.862,1.969,0.345,98.329
20,49.887,11.732,0.96,101.297
21,50.108,0.439,1.964,98.714
22,49.957,0.12,0.651,98.344
23,49.774,3.898,0.296,95.835
24,50.1,14.045,0.474,99.298
25,50.046,2.154,0.569,99.371
26,49.818,1.51,1.24,99.483
27,49.905,3.991,0.755,103.918
28,50.209,19.609,0.652,100.814
29,50.038,4.478,0.119,100.351
30,50.013,3.857,0.866,99.635
31,49.9,10.036,0.933,99.498
32,49.76,8.455,1.643,101.814
33,49.946,10.144,1.929,103.595
34,50.18,0.843,1.872,101.56
35,50.173,0.686,1.316,98.588
36,50.24,16.624,1.726,99.925
37,50.452,1.728,0.373,99.77
38,50.136,0.332,1.437,95.563
39,50.162,5.701,1.963,100.964
40,49.948,3.649,0.893,97.058
41,50.069,1.389,0.689,100.253
42,50.119,4.214,0.021,99.359
43,49.889,1.625,1.821,96.95
44,50.15,8.226,1.426,96.152
45,49.91,4.654,1.5,101.619
46,50.022,2.548,0.438,99.437
47,49.917,1.298,1.106,101.289
48,50.068,6.369,0.718,96.742
49,50.34,0.873,1.653,99.249
50,50.132,3.354,0.478,102.061
51,50.026,8.518,1.108,99.655
52,49.636,0.405,0.575,98.641
53,50.062,2.438,0.175,101.213
54,49.806,4.518,0.11,100.564
55,50.353,6.022,0.285,101.119
56,49.932,6.606,1.504,101.292
57,49.756,3.577,0.427,99.6
58,49.832,0.423,1.962,100.114
59,50.063,6.246,0.074,101.029
60,49.604,0.248,0.409,99.139
61,49.963,4.721,1.723,97.642
62,50.075,0.636,0.504,98.331
63,50.125,2.23,0.247,100.156
64,49.924,2.697,0.465,98.426
65,49.794,1.366,0.333,97.244
66,50.193,15.649,1.64,100.851
67,50.099,4.962,0.664,99.624
68,49.872,7.593,0.548,104.884
69,50.033,1.965,0.925,99.198
70,49.959,4.834,0.345,101.585
71,50.137,0.599,0.096,99.601
72,49.806,4.977,0.68,99.63
73,49.74,3.299,0.082,101.836
74,50.064,16.151,0.131,97.321
75,50.104,2.29,0.136,100.093
76,49.903,0.888,0.234,98.616
