cliente_id,sucursal,tiempo_atencion,gasto,satisfecho
1,B,4.19,16777,1
2,B,9.09,27789,0
3,B,8.25,31249,1
4,A,8.62,32481,1
5,A,21.54,35300,1
6,B,21.84,21001,1
7,C,3.99,19920,1
8,A,5.6,31641,1
9,A,5.1,24800,0
10,B,6.73,20973,0
11,A,7.83,15826,1
12,C,7.35,30848,0
13,A,10.4,36510,1
14,B,25.48,29495,1
15,C,17.06,30057,1
16,A,14.22,18867,0
17,C,10.47,18023,1
18,A,6.1,39290,1
19,A,6.15,30197,1
20,B,22.91,31085,1
21,C,5.81,24125,1
22,B,14.33,15613,1
23,A,8.88,22428,1
24,A,4.2,18813,1
25,A,11.28,28393,1
26,C,10.33,37172,1
27,A,9.2,26123,0
28,C,5.68,16914,1
29,A,13.85,15185,1
30,C,23.38,29589,1
31,B,3.14,33403,0
32,B,9.65,19549,0
33,B,6.82,26790,1
34,A,7.49,27201,1
35,B,5.82,19269,1
36,A,14.81,44625,0
37,C,17.09,24966,1
38,A,6.04,28006,0
39,C,13.64,21694,0
40,B,4.45,17816,1
41,A,9.1,31295,1
42,A,16.23,26813,1
43,B,7.84,29566,1
44,B,6.87,35186,0
45,B,12.64,11152,0
46,A,19.27,21246,1
47,A,15.47,11777,1
48,C,6.08,28907,1
49,A,4.85,24728,1
50,B,14.73,27858,1
51,C,7.42,18100,1
52,C,5.35,35751,1
53,B,17.83,17721,1
54,A,4.21,28003,1
55,B,4.17,36780,1
56,C,5.21,31411,1
57,B,29.1,33653,1
58,A,13.85,18064,1
59,C,4.23,30000,1
60,A,15.46,30849,1
61,B,10.27,40423,1
62,A,4.84,18158,0
63,B,3.71,39935,1
64,B,4.29,18950,0
65,A,11.99,27161,0
66,A,18.97,20590,1
67,B,10.82,25782,1
68,C,19.43,9708,1
69,B,8.31,28425,1
70,A,4.66,31495,1
71,B,15.83,35479,0
72,A,4.57,32066,1
73,B,5.22,39810,0
74,B,9.34,24462,0
75,A,14.48,27177,0
76,B,17.99,19337,1
77,A,5.14,35811,0
78,B,7.49,32665,1
79,A,17.46,25144,1
80,B,8.17,22104,1
81,A,9.36,15209,1
82,A,9.15,37383,0
83,C,9.45,34719,1
84,A,7.38,6701,1
85,C,4.91,18868,1
86,B,6.15,25002,1
87,B,7.69,33947,0
88,A,8.92,26445,1
89,C,7.05,19242,1
90,B,7.03,19966,1
91,C,6.77,17286,0
92,C,11.19,19982,1
93,B,12.31,25559,1
94,B,7.11,20717,0
95,A,13.18,23820,1
96,A,6.82,26797,1
97,B,7.82,28093,1
98,C,3.38,28474,1
99,A,12.07,13067,0
100,C,2.87,25402,1
101,A,10.33,24316,1
102,C,6.67,9056,0
103,A,4.08,33983,0
104,C,3.96,28318,1
105,A,11.18,20625,1
106,A,20.8,45576,1
107,A,9.84,26097,1
108,A,6.15,25937,1
109,A,7.2,31741,1
110,A,19.39,32769,1
111,A,5.54,15602,1
112,A,2.61,33165,1
113,B,5.07,29038,0
114,B,19.76,33603,1
115,B,7.86,34305,0
116,C,12.24,18650,1
117,B,8.89,39931,1
118,B,12.65,22772,1
119,A,5.49,24701,1
120,A,4.54,14691,1
121,B,9.77,14817,1
122,A,3.03,27171,1
123,B,26.12,13478,0
124,A,11.44,18131,1
125,B,6.77,27053,1
126,B,8.28,34874,1
127,A,8.14,19045,1
128,B,4.5,35625,1
129,A,4.12,24576,1
130,C,6.74,24011,1
131,A,7.21,24041,1
132,B,8.78,40072,1
133,B,6.29,38787,1
134,C,10.71,29943,1
135,B,20.2,25679,1
136,B,10.69,32802,0
137,A,8.41,13704,1
138,B,11.09,23896,1
139,B,5.36,37747,1
140,B,9.18,42278,1
141,A,4.65,18234,1
142,C,6.0,35403,1
143,B,11.39,16042,1
144,C,15.37,28235,0
145,C,17.98,27891,0
146,C,16.78,17390,0
147,A,12.23,16570,0
148,B,14.46,23278,1
149,B,16.23,30460,0
150,C,8.09,19860,1
151,B,7.64,26480,0
152,C,16.29,35516,0
153,B,15.6,21603,1
154,C,3.5,30688,1
155,C,7.01,24794,1
156,C,3.92,13999,1
157,B,7.43,26436,0
158,A,8.0,3721,1
159,A,12.96,18762,1
160,B,16.81,36425,1
161,A,24.61,16955,1
162,B,8.12,19690,1
163,A,6.55,28047,1
164,A,3.14,34527,1
165,C,4.6,35412,1
166,B,9.62,16057,1
167,A,11.08,18127,1
168,A,4.68,25875,1
169,B,4.35,41841,1
170,C,12.41,20560,1
171,A,7.96,19608,1
172,A,8.42,30653,1
173,B,15.98,31972,1
174,B,21.75,27741,1
175,B,7.61,16251,1
176,B,19.35,34715,1
177,C,6.64,26256,1
178,A,12.09,19910,1
179,A,5.12,17427,1
180,B,6.89,18043,1
181,C,8.12,17308,1
182,A,15.74,28346,1
183,A,9.24,28057,0
184,A,9.55,20403,1
185,B,8.61,23593,1
186,A,7.51,12345,0
187,B,4.21,20080,1
188,B,6.02,20464,0
189,C,11.56,28176,1
190,A,7.31,20369,1
191,C,4.66,33229,1
192,C,7.11,23567,1
193,A,5.09,32039,1
194,C,6.27,20864,1
195,A,6.24,25848,1
196,A,12.25,17084,0
197,A,6.99,35729,1
198,B,17.53,25552,1
199,A,13.86,14562,1
200,A,12.92,13874,1
201,B,6.04,26869,1
202,A,5.79,33866,1
203,B,10.18,20802,1
204,A,10.22,26749,1
205,A,7.91,23259,1
206,A,8.79,30346,1
207,C,19.2,29571,1
208,A,13.86,33179,1
209,B,7.07,27009,1
210,A,15.95,27486,1
211,A,6.76,23650,0
212,C,14.44,30655,1
213,A,15.4,15243,1
214,A,3.39,23972,1
215,B,7.49,13900,0
216,C,6.43,24446,1
217,C,8.17,21383,1
218,A,10.05,36306,1
219,C,8.46,29809,1
220,B,4.97,23183,1
221,C,18.13,28605,0
222,A,6.57,16794,1
223,A,12.8,15566,1
224,B,18.8,27896,1
225,A,8.17,37644,1
226,C,5.22,38493,1
227,C,11.93,22092,1
228,C,8.87,29136,1
229,A,4.21,21341,1
230,A,9.38,22253,1
231,A,8.73,33588,1
232,A,12.45,15492,0
233,C,10.29,25233,1
234,A,4.09,26697,1
235,A,6.01,24380,1
236,B,12.18,13934,1
237,B,9.54,33278,1
238,A,5.21,13586,1
239,C,18.35,25152,1
240,A,7.78,23764,1
241,A,5.77,6122,1
242,C,4.35,24129,1
243,C,4.82,18821,1
244,B,7.87,20756,1
245,A,10.41,19097,0
246,C,5.56,22337,1
247,B,5.49,21431,1
248,C,2.62,20850,0
249,A,6.65,19837,1
250,B,5.07,19736,0
