id,tiempo,atrasado
1,14.103,0
2,23.189,0
3,19.55,0
4,7.94,0
5,21.259,0
6,18.712,0
7,16.673,0
8,22.74,0
9,21.375,0
10,14.731,0
11,16.23,0
12,22.429,0
13,17.645,0
14,28.434,1
15,19.559,0
16,19.106,0
17,14.972,0
18,16.768,0
19,11.474,0
20,11.081,0
21,24.044,1
22,14.086,0
23,20.819,0
24,16.355,0
25,22.457,0
26,10.701,0
27,22.723,0
28,20.466,0
29,16.624,0
30,28.331,1
31,25.143,1
32,27.212,1
33,14.43,0
34,18.109,0
35,21.575,0
36,23.121,0
37,14.207,0
38,21.452,0
39,18.994,0
40,17.128,0
41,27.322,1
42,17.008,0
43,16.787,0
44,20.795,0
45,27.239,1
46,25.357,1
47,14.356,0
48,28.764,1
49,25.36,1
50,23.854,0
51,11.37,0
52,28.855,1
53,28.999,1
54,32.32,1
55,14.437,0
56,22.292,0
57,17.511,0
58,23.245,0
59,23.219,0
60,16.314,0
61,20.798,0
62,23.57,0
63,8.545,0
64,19.702,0
65,26.453,1
66,15.552,0
67,25.806,1
68,29.499,1
69,9.95,0
70,16.119,0
71,18.043,0
72,13.126,0
73,20.937,0
74,16.462,0
75,37.091,1
76,19.146,0
77,16.059,0
78,28.142,1
79,24.441,1
80,18.06,0
81,31.344,1
82,20.486,0
83,7.703,0
84,28.564,1
85,20.863,0
86,15.381,0
87,31.371,1
88,22.222,0
89,16.633,0
90,26.792,1
91,14.332,0
92,20.668,0
93,20.744,0
94,17.26,0
95,11.704,0
96,22.259,0
97,30.167,1
98,21.076,0
99,22.576,0
100,21.932,0
101,26.541,1
102,22.085,0
103,12.671,0
104,20.772,0
105,22.529,0
106,25.902,1
107,31.554,1
108,12.557,0
109,16.995,0
110,19.195,0
111,33.582,1
112,15.897,0
113,18.183,0
114,32.325,1
115,19.004,0
116,24.567,1
117,19.373,0
118,30.032,1
119,21.923,0
120,20.255,0
121,23.576,0
122,21.462,0
123,17.896,0
124,18.992,0
125,15.847,0
126,12.087,0
127,24.726,1
128,28.561,1
129,16.372,0
130,19.863,0
131,31.844,1
132,21.511,0
133,21.714,0
134,19.097,0
135,18.366,0
136,13.371,0
137,20.054,0
138,24.736,1
139,19.467,0
140,19.086,0
141,16.405,0
142,18.583,0
143,15.073,0
144,44.059,1
145,23.551,0
146,19.412,0
147,22.029,0
148,21.702,0
149,19.427,0
150,34.135,1
151,33.238,1
152,11.446,0
153,20.453,0
154,12.477,0
155,30.272,1
156,13.139,0
157,28.918,1
158,22.102,0
159,12.708,0
160,13.132,0
161,18.528,0
162,34.391,1
163,14.565,0
164,27.38,1
165,13.662,0
166,12.525,0
167,20.15,0
168,9.01,0
169,16.503,0
170,21.733,0
171,21.074,0
172,13.666,0
173,10.741,0
174,9.739,0
175,26.108,1
176,26.392,1
177,11.165,0
178,19.145,0
179,33.508,1
180,15.29,0
181,24.158,1
182,20.05,0
183,15.205,0
184,23.852,0
185,25.878,1
186,12.164,0
187,23.255,0
188,24.87,1
189,22.348,0
190,14.964,0
191,18.587,0
192,22.16,0
193,38.164,1
194,26.058,1
195,15.964,0
196,12.835,0
197,14.634,0
198,31.783,1
199,19.698,0
200,4.916,0
201,25.127,1
202,6.271,0
203,29.399,1
204,11.261,0
205,25.275,1
206,20.174,0
207,21.544,0
208,13.58,0
209,35.085,1
210,26.557,1
211,16.765,0
212,14.501,0
213,22.269,0
214,21.075,0
215,14.496,0
216,18.75,0
217,24.566,1
218,13.455,0
219,16.328,0
220,19.313,0
221,16.031,0
222,23.339,0
223,23.13,0
224,19.163,0
225,22.375,0
226,25.028,1
227,23.746,0
228,19.91,0
229,26.942,1
230,27.462,1
231,16.56,0
232,24.195,1
233,16.15,0
234,11.835,0
235,22.043,0
236,24.405,1
237,21.571,0
238,12.935,0
239,17.598,0
240,27.491,1
241,21.075,0
242,26.335,1
243,18.458,0
244,8.627,0
245,26.528,1
246,18.441,0
247,14.543,0
248,15.297,0
249,21.937,0
250,15.482,0
251,14.292,0
252,16.339,0
253,24.401,1
254,10.22,0
255,14.924,0
256,19.053,0
257,22.323,0
258,16.124,0
259,35.307,1
260,16.877,0
261,16.766,0
262,16.102,0
263,29.374,1
264,16.447,0
265,24.237,1
266,15.112,0
