orden_id,turno,tiempo_armado,a_tiempo,error_doc
1,Dia,26.45,1,0
2,Dia,36.25,1,0
3,Noche,27.56,0,0
4,Dia,23.94,1,0
5,Dia,35.02,1,0
6,Dia,29.08,1,0
7,Noche,25.33,1,0
8,Noche,17.84,1,0
9,Dia,29.18,1,0
10,Noche,35.44,1,0
11,Dia,26.12,1,0
12,Dia,31.57,1,0
13,Dia,36.32,1,0
14,Dia,32.76,1,0
15,Noche,20.12,1,0
16,Dia,27.17,0,0
17,Dia,31.42,1,0
18,Dia,42.21,1,0
19,Dia,38.06,1,0
20,Dia,29.12,1,1
21,Noche,31.47,1,0
22,Dia,36.15,1,0
23,Dia,24.5,1,0
24,Noche,33.51,1,0
25,Noche,42.73,1,0
26,Dia,28.15,1,0
27,Dia,29.89,1,0
28,Noche,27.18,1,0
29,Dia,42.61,1,0
30,Dia,29.52,1,0
31,Dia,29.78,1,0
32,Noche,14.99,1,0
33,Dia,35.29,1,0
34,Dia,38.27,1,0
35,Dia,27.5,1,0
36,Dia,38.99,1,0
37,Noche,30.73,1,0
38,Dia,36.96,1,0
39,Noche,19.7,1,0
40,Noche,32.62,1,0
41,Noche,24.31,1,0
42,Dia,28.72,1,0
43,Dia,41.22,1,0
44,Dia,32.62,0,0
45,Dia,28.42,0,0
46,Dia,31.53,0,0
47,Noche,30.34,1,0
48,Dia,38.04,0,0
49,Dia,41.2,1,0
50,Dia,29.25,1,0
51,Dia,27.24,1,0
52,Dia,42.97,0,0
53,Noche,34.03,1,0
54,Dia,33.39,1,0
55,Noche,27.56,0,0
56,Noche,30.07,1,0
57,Noche,28.22,1,0
58,Noche,28.1,1,0
59,Dia,25.46,0,0
60,Noche,27.78,1,1
61,Dia,39.87,1,0
62,Dia,35.59,1,0
63,Noche,30.45,1,1
64,Noche,24.21,0,0
65,Dia,24.16,1,0
66,Noche,28.45,1,0
67,Noche,15.22,1,0
68,Noche,37.03,1,0
69,Dia,28.99,0,0
70,Dia,26.51,1,0
71,Dia,41.7,1,0
72,Dia,24.17,1,0
73,Dia,33.85,1,0
74,Dia,38.72,1,0
75,Noche,27.14,1,0
76,Noche,35.94,1,0
77,Noche,20.29,1,0
78,Noche,50.04,1,0
79,Dia,27.01,1,0
80,Noche,28.49,1,0
81,Dia,25.64,1,0
82,Noche,40.5,1,0
83,Noche,29.57,1,0
84,Noche,29.15,0,0
85,Dia,42.54,1,0
86,Dia,37.27,1,0
87,Dia,28.61,1,0
88,Dia,20.49,1,0
89,Noche,23.82,0,1
90,Dia,44.79,1,0
91,Dia,28.08,1,0
92,Noche,25.7,1,0
93,Dia,33.72,1,0
94,Dia,21.01,1,0
95,Dia,44.39,0,0
96,Dia,24.2,1,0
97,Dia,34.94,1,0
98,Noche,30.48,1,0
99,Dia,29.57,1,0
100,Noche,37.54,1,0
101,Noche,25.7,1,0
102,Dia,30.77,1,0
103,Dia,36.31,1,0
104,Noche,35.98,1,0
105,Noche,32.64,0,0
106,Dia,25.58,1,0
107,Dia,37.58,0,0
108,Dia,34.7,1,0
109,Noche,39.23,1,0
110,Noche,38.67,1,0
111,Dia,25.1,1,0
112,Noche,43.58,1,0
113,Noche,36.77,1,1
114,Dia,33.4,1,0
115,Noche,33.51,1,0
116,Dia,28.39,1,0
117,Dia,34.26,1,0
118,Dia,31.02,1,1
119,Dia,31.13,1,0
120,Dia,37.06,1,0
121,Noche,37.72,1,0
122,Dia,30.97,1,0
123,Noche,48.64,1,0
124,Dia,24.44,0,0
125,Dia,21.12,0,0
126,Noche,37.65,1,0
127,Noche,31.42,1,0
128,Noche,40.15,1,0
129,Dia,31.96,1,0
130,Noche,30.19,1,0
131,Dia,43.45,0,0
132,Dia,31.69,1,0
133,Noche,23.99,1,0
134,Dia,37.18,1,0
135,Noche,24.0,0,0
136,Noche,49.65,1,0
137,Dia,26.15,1,1
138,Noche,26.69,1,0
139,Noche,33.71,1,0
140,Noche,31.45,1,0
141,Noche,32.51,1,0
142,Noche,34.63,1,0
143,Dia,29.08,1,0
144,Noche,25.2,0,0
145,Dia,42.97,1,0
146,Noche,34.73,1,0
147,Noche,22.15,1,0
148,Dia,30.65,0,0
149,Dia,23.37,0,0
150,Noche,31.29,1,0
151,Noche,19.25,1,0
152,Dia,32.21,1,0
153,Dia,29.15,1,0
154,Dia,25.57,1,0
155,Noche,41.46,1,0
156,Dia,37.32,1,0
157,Noche,30.06,1,0
158,Dia,29.26,1,0
159,Dia,29.97,0,0
160,Noche,36.97,1,1
161,Noche,28.83,1,1
162,Noche,33.15,1,0
163,Noche,35.7,1,0
164,Dia,40.53,1,0
165,Dia,30.09,0,0
166,Dia,42.31,1,0
167,Dia,29.44,0,1
168,Dia,29.46,1,0
169,Dia,32.08,1,0
170,Noche,28.83,1,0
171,Noche,38.27,0,0
172,Dia,33.3,1,0
173,Dia,39.44,0,0
174,Dia,38.24,1,0
175,Noche,26.74,1,0
176,Dia,24.75,1,0
177,Dia,35.01,1,0
178,Dia,25.91,1,0
179,Dia,20.63,1,0
180,Noche,38.49,1,0
181,Dia,29.98,1,0
182,Dia,33.32,1,0
183,Noche,32.46,1,0
184,Noche,32.55,1,0
185,Noche,33.06,0,0
186,Noche,34.66,0,0
187,Noche,34.41,1,0
188,Noche,50.78,1,0
189,Dia,28.2,1,0
190,Noche,33.19,1,0
191,Dia,24.22,1,0
192,Dia,30.34,1,0
193,Dia,30.57,1,1
194,Noche,29.18,1,0
195,Noche,37.31,1,0
196,Noche,28.56,1,0
197,Dia,34.71,1,0
198,Dia,36.49,1,0
199,Dia,38.42,1,0
200,Noche,25.84,1,0
