orden_id,proveedor,tiempo_entrega,defecto
1,A,3.331,0
2,A,5.792,0
3,A,4.952,0
4,A,4.001,0
5,A,5.809,0
6,A,3.549,0
7,A,5.69,0
8,A,6.679,1
9,A,3.964,0
10,A,5.433,0
11,A,4.923,0
12,A,3.441,0
13,A,5.407,1
14,A,3.33,0
15,A,5.425,0
16,A,7.038,0
17,A,6.045,0
18,A,6.206,0
19,A,7.062,0
20,A,4.789,0
21,A,7.075,0
22,A,5.678,1
23,A,2.533,0
24,A,4.836,0
25,A,4.093,0
26,A,4.582,0
27,A,5.361,0
28,A,4.399,0
29,A,4.25,0
30,A,5.331,0
31,A,5.724,0
32,A,3.078,1
33,A,5.677,0
34,A,6.18,0
35,A,4.323,0
36,A,6.135,0
37,A,7.069,0
38,A,5.173,0
39,A,5.204,0
40,A,4.46,0
41,A,4.595,0
42,A,5.708,0
43,A,3.843,0
44,A,5.583,0
45,A,6.081,0
46,A,6.233,0
47,A,4.115,0
48,A,3.606,0
49,A,6.906,0
50,A,3.401,0
51,A,4.575,0
52,A,4.867,0
53,A,5.339,1
54,A,5.183,0
55,A,4.005,0
56,A,5.237,0
57,A,3.655,0
58,A,4.445,1
59,A,3.291,0
60,A,4.259,0
61,A,4.746,0
62,A,4.89,0
63,A,5.364,0
64,A,5.173,0
65,A,4.045,0
66,A,6.334,0
67,A,5.502,0
68,A,5.935,0
69,A,6.472,0
70,A,5.71,0
71,A,4.604,0
72,A,6.83,0
73,A,6.265,0
74,A,6.377,0
75,A,3.977,0
76,A,5.801,0
77,A,6.332,0
78,A,6.038,0
79,A,3.437,1
80,A,4.486,0
81,A,4.604,0
82,A,5.742,0
83,A,5.91,0
84,A,5.642,0
85,A,4.39,0
86,A,6.231,0
87,A,4.358,0
88,A,4.754,1
89,A,6.205,0
90,A,5.402,0
91,A,4.846,0
92,A,4.349,0
93,A,4.712,0
94,A,5.007,0
95,A,5.148,0
96,A,5.367,0
97,A,4.729,0
98,A,5.137,0
99,A,5.929,0
100,A,5.953,0
101,A,5.682,0
102,A,4.917,0
103,A,7.135,0
104,A,5.596,0
105,A,5.794,0
106,A,6.076,0
107,A,5.505,0
108,A,3.498,0
109,A,6.849,0
110,A,4.474,0
111,A,5.65,0
112,A,5.512,0
113,A,4.58,0
114,A,6.393,0
115,A,5.174,1
116,A,2.674,0
117,A,6.526,0
118,A,5.074,0
119,A,6.145,0
120,A,5.295,0
121,A,4.828,0
122,A,4.777,0
123,A,4.633,0
124,A,6.022,0
125,A,5.637,0
126,A,5.007,0
127,A,3.689,0
128,A,4.393,0
129,A,4.145,1
130,A,5.02,0
131,A,4.92,0
132,A,3.249,0
133,A,6.519,0
134,A,2.955,0
135,A,4.083,0
136,A,4.384,0
137,A,7.211,0
138,A,4.475,0
139,A,5.571,1
140,A,6.215,0
141,A,5.792,1
142,A,7.381,0
143,A,6.199,0
144,A,6.746,0
145,A,6.399,0
146,A,6.749,0
147,A,3.721,1
148,A,5.701,0
149,A,4.615,0
150,A,5.075,0
151,A,5.914,0
152,A,4.726,1
153,A,4.921,0
154,A,2.671,0
155,A,5.116,0
156,A,8.097,0
157,A,3.274,1
158,A,5.497,0
159,A,4.122,0
160,A,5.584,0
161,A,5.93,1
162,A,3.815,0
163,A,5.054,0
164,A,5.696,0
165,A,6.793,0
166,A,4.577,0
167,A,5.235,0
168,A,6.723,0
169,A,5.839,0
170,A,3.994,1
171,A,7.127,0
172,A,5.418,1
